Date,AADI.JK,ADMR.JK,ADRO.JK,AKRA.JK,AMMN.JK,AMRT.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BMRI.JK,BRPT.JK,BUMI.JK,CPIN.JK,CUAN.JK,DEWA.JK,EMTK.JK,ESSA.JK,EXCL.JK,GOTO.JK,HRTA.JK,ICBP.JK,INCO.JK,INDF.JK,INKP.JK,ISAT.JK,ITMG.JK,JPFA.JK,KLBF.JK,MAPI.JK,MBMA.JK,MDKA.JK,MEDC.JK,PGAS.JK,PGEO.JK,PTBA.JK,SCMA.JK,SMGR.JK,TLKM.JK,TOWR.JK,UNTR.JK,UNVR.JK,WIFI.JK
2021-04-01,,,351.52923583984375,448.8302307128906,,839.52587890625,1848.0452880859375,3568.55078125,5260.095703125,2136.897705078125,2708.941650390625,1324.203857421875,2191.0615234375,930.2379150390625,60.0,6406.93115234375,,50.0,2258.39404296875,340.8199768066406,1762.291259765625,,167.5880126953125,8018.88134765625,4315.53564453125,5512.15966796875,10271.263671875,1254.713623046875,5096.6298828125,1601.02392578125,1399.2523193359375,731.2114868164062,,2185.3466796875,483.7325744628906,902.8621215820312,,1181.4588623046875,266.6824035644531,9008.5439453125,2610.046630859375,961.4595336914062,12725.55859375,5369.89892578125,694.91455078125
2021-04-05,,,353.0187683105469,450.2284240722656,,825.2965698242188,1815.04443359375,3568.55078125,5200.9462890625,2165.138671875,2652.1103515625,1312.68896484375,2199.896484375,945.003662109375,60.0,6521.75146484375,,50.0,2193.86865234375,335.2631530761719,1745.4271240234375,,167.5880126953125,7996.48095703125,4267.37109375,5450.6865234375,10126.2578125,1249.8123779296875,5532.2392578125,1616.7203369140625,1399.2523193359375,736.1189575195312,,2195.102783203125,483.7325744628906,878.8314819335938,,1132.417236328125,270.6042175292969,8900.5283203125,2602.34765625,961.4595336914062,12739.908203125,5248.3154296875,694.91455078125
2021-04-06,,,360.46649169921875,453.02490234375,,849.011962890625,1922.2972412109375,3568.55078125,5209.396484375,2193.3798828125,2716.0712890625,1331.88037109375,2217.56640625,969.6131591796875,60.0,6475.82275390625,,50.0,2239.958251953125,359.3428039550781,1821.3154296875,,167.5880126953125,7906.884765625,4488.92724609375,5532.65185546875,10295.431640625,1352.7381591796875,5477.7880859375,1577.4794921875,1403.765869140625,745.933837890625,,2253.638671875,496.35162353515625,889.13037109375,,1123.5006103515625,269.8198547363281,8965.3369140625,2594.648193359375,961.4595336914062,12811.6416015625,5248.3154296875,699.8782348632812
2021-04-07,,,363.4455261230469,453.02490234375,,896.4429321289062,1947.0479736328125,3551.8759765625,5281.220703125,2174.552978515625,2716.0712890625,1305.012451171875,2235.236328125,964.6912231445312,60.0,6567.67822265625,,50.0,2286.048095703125,363.0473937988281,1855.043212890625,,169.247314453125,7974.08154296875,4508.19287109375,5553.14306640625,10367.93359375,1342.9356689453125,5488.6787109375,1655.9609375,1399.2523193359375,775.3786010742188,,2243.8828125,487.9389343261719,892.563232421875,,1123.5006103515625,280.8008728027344,8943.734375,2617.745849609375,957.0891723632812,12811.6416015625,5288.84326171875,744.55126953125
2021-04-08,,,366.4245300292969,455.8213806152344,,943.873779296875,2037.7999267578125,3535.199951171875,5256.7158203125,2200.7421875,2813.07373046875,1301.17431640625,2217.56640625,1004.0663452148438,63.0,6498.78662109375,,50.0,2212.304443359375,363.0473937988281,1821.3154296875,,167.5880126953125,7884.48583984375,4643.05322265625,5471.177734375,10343.767578125,1313.5281982421875,5477.7880859375,1640.2647705078125,1412.79345703125,790.1008911132812,,2243.8828125,487.9389343261719,892.563232421875,,1132.417236328125,280.01654052734375,9021.451171875,2610.046630859375,948.3486938476562,12955.109375,5349.634765625,779.2969970703125
2021-04-09,,,358.9769287109375,451.626708984375,,924.9014282226562,1930.54736328125,3518.524658203125,5312.4091796875,2276.6298828125,2813.07373046875,1331.88037109375,2288.245849609375,974.5349731445312,62.0,6361.0029296875,,50.0,2221.522216796875,351.93365478515625,1821.3154296875,,170.90658569335938,7951.68310546875,4450.3955078125,5409.7041015625,9739.5751953125,1298.82470703125,5390.66650390625,1695.201904296875,1399.2523193359375,785.1934814453125,,2126.810546875,508.97076416015625,906.2949829101562,,1132.417236328125,272.1729431152344,9131.4677734375,2586.94921875,965.8297729492188,13041.1875,5248.3154296875,774.3333129882812
2021-04-12,,,351.52923583984375,437.6444091796875,,920.1583251953125,1856.2955322265625,3385.12109375,5196.736328125,2219.71435546875,2722.538330078125,1239.7618408203125,2226.401123046875,945.003662109375,60.0,6429.89501953125,,50.0,2147.779052734375,342.6722717285156,1745.4271240234375,,174.2251739501953,7750.09033203125,4296.26953125,5409.7041015625,9062.8798828125,1244.9111328125,5183.751953125,1703.0499267578125,1363.1427001953125,775.3786010742188,,2126.810546875,483.7325744628906,844.5020751953125,,1096.7503662109375,254.91702270507812,8735.404296875,2548.45263671875,952.7190551757812,12295.1572265625,5126.7333984375,739.5875854492188
2021-04-13,,,345.5711669921875,434.847900390625,,901.18603515625,1872.7958984375,3385.12109375,5141.041015625,2200.7421875,2690.204345703125,1232.0853271484375,2226.401123046875,935.1598510742188,59.0,6429.89501953125,,50.0,2129.343017578125,355.63824462890625,1720.1309814453125,,172.5658721923828,7727.6923828125,4209.5732421875,5389.21240234375,9352.890625,1279.2198486328125,5096.6298828125,1655.9609375,1345.0877685546875,765.563720703125,,2087.78662109375,475.3197937011719,810.1728515625,,1096.7503662109375,254.13267517089844,9241.486328125,2563.851318359375,983.3108520507812,12926.4140625,5045.67822265625,754.4786376953125
2021-04-14,,,355.9978332519531,443.23736572265625,,929.6444702148438,1922.2972412109375,3501.84912109375,5402.3779296875,2238.686279296875,2813.07373046875,1278.14453125,2235.236328125,959.769287109375,60.0,6567.67822265625,,50.0,2193.86865234375,363.0473937988281,1745.4271240234375,,170.90658569335938,7839.68701171875,4267.37109375,5389.21240234375,9570.400390625,1313.5281982421875,5259.9833984375,1671.6573486328125,1349.6014404296875,775.3786010742188,,2156.07861328125,487.9389343261719,830.7705078125,,1112.7027587890625,261.9762268066406,9725.5634765625,2571.55029296875,996.421630859375,12768.5986328125,5106.46923828125,769.36962890625
2021-04-15,,,354.5083312988281,439.0426025390625,,920.1583251953125,1914.047119140625,3501.84912109375,5380.95751953125,2267.144287109375,2851.874755859375,1247.4384765625,2226.401123046875,969.6131591796875,60.0,7118.8125,,50.0,2350.5732421875,366.75189208984375,1728.5631103515625,,169.247314453125,7839.68701171875,4151.7763671875,5450.6865234375,9352.890625,1269.417236328125,5267.49267578125,1742.2906494140625,1367.65625,760.65625,,2136.566650390625,487.9389343261719,827.3374633789062,,1089.713134765625,270.6042175292969,9527.53125,2586.94921875,974.5702514648438,12452.9716796875,5187.5244140625,769.36962890625
